File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,6,32,7,25,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,7,13,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,8,6,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,9,19,10,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,10,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,11,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Global Experience Magnet,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Wintonbury Early Childhood Magnet,PIO,202,9,193,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Wintonbury Early Childhood Magnet,PK4,91,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,BPS,Wintonbury Early Childhood Magnet,K,18,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,6,422,88,334,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,7,214,21,193,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,8,190,32,158,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,9,239,58,181,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,10,92,19,73,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,11,46,15,31,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,12,11,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,PIO,321,40,281,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,PK4,309,42,267,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,K,280,35,245,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,1,176,27,149,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,2,173,20,153,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,3,160,23,137,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Aerospace and Engineering,4,164,26,138,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Academy of Science and Innovation,6,163,18,145,,
