file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,6,32.0,7,25.0,,,,BPS,Global Experience Magnet
apps,7,13.0,,,,,,BPS,Global Experience Magnet
apps,8,6.0,,,,,,BPS,Global Experience Magnet
apps,9,19.0,10,9.0,,,,BPS,Global Experience Magnet
apps,10,9.0,,,,,,BPS,Global Experience Magnet
apps,11,,,,,,,BPS,Global Experience Magnet
apps,12,,,,,,,BPS,Global Experience Magnet
apps,PK3,202.0,9,193.0,,,,BPS,Wintonbury Early Childhood Magnet
apps,PK4,91.0,,,,,,BPS,Wintonbury Early Childhood Magnet
apps,K,18.0,,,,,,BPS,Wintonbury Early Childhood Magnet
apps,6,422.0,88,334.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,7,214.0,21,193.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,8,190.0,32,158.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,9,239.0,58,181.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,10,92.0,19,73.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,11,46.0,15,31.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,12,11.0,,,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,PK3,321.0,40,281.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,PK4,309.0,42,267.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,K,280.0,35,245.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,1,176.0,27,149.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,2,173.0,20,153.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,3,160.0,23,137.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,4,164.0,26,138.0,,,,CREC,Academy of Aerospace and Engineering Elementary
apps,6,163.0,18,145.0,,,,CREC,Academy of Science and Innovation
apps,7,63.0,,,,,,CREC,Academy of Science and Innovation
apps,8,56.0,,,,,,CREC,Academy of Science and Innovation
apps,9,85.0,18,67.0,,,,CREC,Academy of Science and Innovation
apps,10,21.0,,,,,,CREC,Academy of Science and Innovation
apps,11,13.0,,,,,,CREC,Academy of Science and Innovation
apps,12,7.0,,,,,,CREC,Academy of Science and Innovation
