operator,school,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban
BPS,Global Experience Magnet,10,9.0,,,11,,11
BPS,Global Experience Magnet,11,,,,,,
BPS,Global Experience Magnet,12,,,,,,
BPS,Global Experience Magnet,6,32.0,7.0,25.0,72,20,52
BPS,Global Experience Magnet,7,13.0,,,9,,9
BPS,Global Experience Magnet,8,6.0,,,11,,11
BPS,Global Experience Magnet,9,19.0,10.0,9.0,25,11,14
BPS,Wintonbury Early Childhood Magnet,K,18.0,,,8,,
BPS,Wintonbury Early Childhood Magnet,PK3,202.0,9.0,193.0,149,33,116
BPS,Wintonbury Early Childhood Magnet,PK4,91.0,,,9,,
CREC,Academy of Aerospace and Engineering Elementary,1,176.0,27.0,149.0,8,,
CREC,Academy of Aerospace and Engineering Elementary,10,92.0,19.0,73.0,6,,
CREC,Academy of Aerospace and Engineering Elementary,11,46.0,15.0,31.0,,,
CREC,Academy of Aerospace and Engineering Elementary,12,11.0,,,,,
CREC,Academy of Aerospace and Engineering Elementary,2,173.0,20.0,153.0,,,
CREC,Academy of Aerospace and Engineering Elementary,3,160.0,23.0,137.0,7,,
CREC,Academy of Aerospace and Engineering Elementary,4,164.0,26.0,138.0,9,,
CREC,Academy of Aerospace and Engineering Elementary,6,422.0,88.0,334.0,125,61,64
CREC,Academy of Aerospace and Engineering Elementary,7,214.0,21.0,193.0,17,8,9
CREC,Academy of Aerospace and Engineering Elementary,8,190.0,32.0,158.0,,,
CREC,Academy of Aerospace and Engineering Elementary,9,239.0,58.0,181.0,18,10,8
CREC,Academy of Aerospace and Engineering Elementary,K,280.0,35.0,245.0,18,,
CREC,Academy of Aerospace and Engineering Elementary,PK3,321.0,40.0,281.0,38,17,21
CREC,Academy of Aerospace and Engineering Elementary,PK4,309.0,42.0,267.0,,,
CREC,Academy of Science and Innovation,10,21.0,,,,,
CREC,Academy of Science and Innovation,11,13.0,,,,,
CREC,Academy of Science and Innovation,12,7.0,,,,,
CREC,Academy of Science and Innovation,6,163.0,18.0,145.0,78,19,59
CREC,Academy of Science and Innovation,7,63.0,,,23,,
CREC,Academy of Science and Innovation,8,56.0,,,30,,
CREC,Academy of Science and Innovation,9,85.0,18.0,67.0,27,,
CREC,Ana Grace Academy of the Arts Elementary,1,40.0,7.0,33.0,16,9,7
CREC,Ana Grace Academy of the Arts Elementary,2,41.0,12.0,29.0,22,14,8
CREC,Ana Grace Academy of the Arts Elementary,3,50.0,12.0,38.0,25,13,12
CREC,Ana Grace Academy of the Arts Elementary,4,46.0,9.0,37.0,8,,
CREC,Ana Grace Academy of the Arts Elementary,5,18.0,9.0,9.0,,,
CREC,Ana Grace Academy of the Arts Elementary,K,92.0,27.0,65.0,65,26,39
CREC,Ana Grace Academy of the Arts Elementary,PK3,123.0,24.0,99.0,49,25,24
CREC,Ana Grace Academy of the Arts Elementary,PK4,111.0,20.0,91.0,,,
CREC,Discovery Academy,1,74.0,17.0,57.0,,,
CREC,Discovery Academy,2,70.0,17.0,53.0,,,
CREC,Discovery Academy,3,61.0,16.0,45.0,6,,
CREC,Discovery Academy,4,61.0,14.0,47.0,,,
CREC,Discovery Academy,5,65.0,14.0,51.0,,,
CREC,Discovery Academy,K,179.0,39.0,140.0,16,7,9
CREC,Discovery Academy,PK3,279.0,62.0,217.0,60,34,26
CREC,Discovery Academy,PK4,227.0,41.0,186.0,6,,
CREC,GHAA I Middle,6,181.0,49.0,132.0,151,75,76
CREC,GHAA I Middle,7,69.0,10.0,59.0,11,,
CREC,GHAA I Middle,8,72.0,14.0,58.0,16,9,7
CREC,GHAA [Full-Day],10,68.0,23.0,45.0,28,14,14
CREC,GHAA [Full-Day],11,51.0,16.0,35.0,11,,
CREC,GHAA [Full-Day],12,17.0,,,,,
CREC,GHAA [Full-Day],9,216.0,90.0,126.0,72,37,35
CREC,GHAA [Half-Day],10,25.0,,,60,12,48
CREC,GHAA [Half-Day],11,27.0,,,51,11,40
CREC,GHAA [Half-Day],12,12.0,,,21,,
CREC,GHAA [Half-Day],9,104.0,11.0,93.0,180,31,149
CREC,Glastonbury-East Hartford Magnet,1,118.0,18.0,100.0,14,7,7
CREC,Glastonbury-East Hartford Magnet,2,78.0,10.0,68.0,13,,
CREC,Glastonbury-East Hartford Magnet,3,111.0,14.0,97.0,17,7,IO
CREC,Glastonbury-East Hartford Magnet,4,76.0,10.0,66.0,9,,
CREC,Glastonbury-East Hartford Magnet,5,119.0,20.0,99.0,,,
CREC,Glastonbury-East Hartford Magnet,K,220.0,30.0,190.0,53,20,33
CREC,Glastonbury-East Hartford Magnet,PK3,314.0,21.0,293.0,27,10,17
CREC,Glastonbury-East Hartford Magnet,PK4,288.0,23.0,265.0,11,,
CREC,International Magnet School for Global Citizenship,1,93.0,,,28,12,16
CREC,International Magnet School for Global Citizenship,2,62.0,,,16,,
CREC,International Magnet School for Global Citizenship,3,47.0,,,28,16,12
CREC,International Magnet School for Global Citizenship,4,32.0,,,22,15,7
CREC,International Magnet School for Global Citizenship,5,49.0,,,12,,
CREC,International Magnet School for Global Citizenship,K,176.0,15.0,161.0,41,20,21
CREC,International Magnet School for Global Citizenship,PK3,274.0,16.0,258.0,56,28,28
CREC,International Magnet School for Global Citizenship,PK4,239.0,9.0,230.0,,,
CREC,MLC Magnet for Global and International Studies,10,16.0,,,15,,
CREC,MLC Magnet for Global and International Studies,11,6.0,,,,,
CREC,MLC Magnet for Global and International Studies,12,,,,,,
CREC,MLC Magnet for Global and International Studies,6,122.0,44.0,78.0,118,34,84
CREC,MLC Magnet for Global and International Studies,7,30.0,11.0,19.0,16,,
CREC,MLC Magnet for Global and International Studies,8,20.0,7.0,13.0,11,,
CREC,MLC Magnet for Global and International Studies,9,29.0,11.0,18.0,15,,15
CREC,Montessori Magnet (CREC),1,51.0,31.0,20.0,9,,
CREC,Montessori Magnet (CREC),2,55.0,39.0,16.0,,,
CREC,Montessori Magnet (CREC),3,41.0,22.0,19.0,,,
CREC,Montessori Magnet (CREC),4,34.0,19.0,15.0,14,,
CREC,Montessori Magnet (CREC),5,66.0,36.0,30.0,,,
CREC,Montessori Magnet (CREC),K,91.0,55.0,36.0,,,
CREC,Montessori Magnet (CREC),PK3,135.0,52.0,83.0,65,40,25
CREC,Montessori Magnet (CREC),PK4,76.0,45.0,31.0,8,,
CREC,Museum Academy,1,31.0,,,17,8,
CREC,Museum Academy,2,32.0,6.0,26.0,14,6,
CREC,Museum Academy,3,30.0,,,6,,
CREC,Museum Academy,4,16.0,,,9,,
CREC,Museum Academy,5,21.0,,,10,,
CREC,Museum Academy,K,64.0,6.0,58.0,39,19,
CREC,Museum Academy,PK3,100.0,19.0,81.0,81,42,39
CREC,Museum Academy,PK4,68.0,8.0,60.0,21,9,
